date,city,country,temp,feels_like,humidity,windspeed,pressure,description,temp_score,humidity_score,wind_score,pressure_score,weather_score
Sun May 25 15:52:45 2025,Москва,RU,27.59,26.85,31,5.04,1020,Пасмурно,0.641,0.91,0.996,1.0,8.69
Mon May 26 12:56:33 2025,Москва,RU,27.59,26.85,31,7.61,1020,Облачно с прояснениями,0.641,0.91,0.739,1.0,8.18
Mon May 26 13:00:39 2025,Москва,US,12.71,11.94,73,1.34,1012,Облачно с прояснениями,0.4710000000000001,0.87,1.0,0.9,7.84
Mon May 26 13:13:44 2025,Москва,RU,27.59,26.85,31,7.61,1020,Облачно с прояснениями,0.64,0.91,0.74,1.0,8.18
Mon May 26 13:19:05 2025,Москва,US,13.85,12.67,53,3.09,1012,Ясно,0.58,1.0,1.0,0.9,8.49
Mon May 26 13:33:44 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 13:37:35 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 13:52:04 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 14:18:46 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 14:23:46 2025,Москва,RU,27.24,26.46,27,7.85,1020,Облачно с прояснениями,0.68,0.87,0.72,1.0,8.15
Mon May 26 14:34:10 2025,Москва,RU,27.24,26.7,33,7.64,1020,Облачно с прояснениями,0.68,0.93,0.74,1.0,8.35
Mon May 26 19:09:48 2025,Москва,RU,25.57,24.89,27,6.48,1020,Пасмурно,0.84,0.87,0.85,1.0,8.9
Mon May 26 19:07:18 2025,Москва,RU,25.57,24.89,27,6.48,1020,Пасмурно,0.84,0.87,0.85,1.0,8.9
Tue May 27 14:36:05 2025,Москва,RU,24.81,24.1,29,6.92,1020,Пасмурно,0.92,0.89,0.81,1.0,9.11
Fri May 30 19:16:18 2025,Москва,RU,22.41,21.75,40,1.68,1012,Облачно с прояснениями,1.0,1.0,1.0,0.9,9.75
Fri May 30 19:41:49 2025,Москва,RU,21.86,21.28,45,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:53:29 2025,Москва,RU,21.3,20.69,46,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:52:39 2025,Москва,RU,21.3,20.69,46,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:52:39 2025,Москва,RU,21.3,20.69,46,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
