date,city,country,temp,feels_like,humidity,windspeed,pressure,description,temp_score,humidity_score,wind_score,pressure_score,weather_score
Mon May 26 14:34:51 2025,Стамбул,TR,14.53,14.34,88,4.12,1009,Облачно с прояснениями,0.65,0.72,1.0,0.6,7.25
Mon May 26 14:39:53 2025,Стамбул,TR,14.53,14.34,88,4.12,1009,Облачно с прояснениями,0.65,0.72,1.0,0.6,7.25
Mon May 26 19:12:52 2025,Стамбул,TR,14.53,14.34,88,3.09,1011,Облачно с прояснениями,0.65,0.72,1.0,0.8,7.75
Fri May 30 19:20:34 2025,Стамбул,TR,20.09,19.93,68,7.72,1013,Переменная облачность,1.0,0.92,0.73,1.0,9.26
Sat May 31 18:58:15 2025,Стамбул,TR,19.14,18.68,60,9.77,1017,Ясно,1.0,1.0,0.52,1.0,9.04
Sat May 31 19:01:36 2025,Стамбул,TR,19.14,18.68,60,9.77,1017,Ясно,1.0,1.0,0.52,1.0,9.04
Sat May 31 19:03:43 2025,Стамбул,TR,19.14,18.68,60,8.75,1017,Ясно,1.0,1.0,0.62,1.0,9.24
Sat May 31 19:22:00 2025,Стамбул,TR,18.73,18.23,60,8.75,1017,Ясно,1.0,1.0,0.62,1.0,9.24
Sat May 31 19:22:00 2025,Стамбул,TR,18.73,18.23,60,8.75,1017,Ясно,1.0,1.0,0.62,1.0,9.24
Sat May 31 19:22:00 2025,Стамбул,TR,18.73,18.23,60,8.75,1017,Ясно,1.0,1.0,0.62,1.0,9.24
Sat May 31 19:22:00 2025,Стамбул,TR,18.73,18.23,60,8.75,1017,Ясно,1.0,1.0,0.62,1.0,9.24
