date,city,country,temp,feels_like
Sun May 25 15:57:40 2025,Токио,JP,17.86,18.03
Mon May 26 12:44:46 2025,Токио,JP,19.14,18.65
Mon May 26 12:50:27 2025,Токио,JP,19.09,18.6
Mon May 26 12:53:41 2025,Токио,JP,19.09,18.6
Mon May 26 13:02:18 2025,Токио,JP,19.09,18.6
Mon May 26 13:15:26 2025,Токио,JP,18.96,18.43
Mon May 26 13:50:34 2025,Токио,JP,18.56,17.86
Mon May 26 13:54:00 2025,Токио,JP,18.56,17.86
Mon May 26 14:07:32 2025,Токио,JP,18.55,17.82
Mon May 26 14:13:04 2025,Токио,JP,18.55,17.82
Mon May 26 14:12:58 2025,Токио,JP,18.55,17.82
Mon May 26 14:16:58 2025,Токио,JP,18.55,17.84
Mon May 26 14:20:13 2025,Токио,JP,18.55,17.84
Mon May 26 14:35:27 2025,Токио,JP,18.55,17.87
Mon May 26 14:45:27 2025,Токио,JP,18.55,17.9
Mon May 26 16:37:08 2025,Токио,JP,17.9,17.47
Mon May 26 16:42:26 2025,Токио,JP,17.9,17.47
Mon May 26 16:49:01 2025,Токио,JP,17.9,17.52
Mon May 26 16:56:41 2025,Токио,JP,17.78,17.39
Mon May 26 17:07:02 2025,Токио,JP,17.78,17.39
Mon May 26 17:03:33 2025,Токио,JP,17.78,17.39
Mon May 26 17:08:34 2025,Токио,JP,17.78,17.39
Mon May 26 17:17:59 2025,Токио,JP,17.78,17.36
Mon May 26 17:21:56 2025,Токио,JP,17.78,17.36
Mon May 26 17:23:33 2025,Токио,JP,17.64,17.21
Mon May 26 17:33:02 2025,Токио,JP,17.64,17.24
Mon May 26 18:14:18 2025,Токио,JP,17.64,17.24
Mon May 26 18:33:35 2025,Токио,JP,17.33,16.89
Mon May 26 18:39:31 2025,Токио,JP,17.33,16.89
Mon May 26 18:44:15 2025,Токио,JP,17.33,16.89
Mon May 26 18:48:35 2025,Токио,JP,17.33,16.92
Mon May 26 18:52:08 2025,Токио,JP,17.33,16.92
Mon May 26 19:08:33 2025,Токио,JP,17.29,16.88
Mon May 26 19:10:00 2025,Токио,JP,17.29,16.88
Mon May 26 19:18:54 2025,Токио,JP,17.29,16.88
Tue May 27 14:35:00 2025,Токио,JP,17.91,17.66
Thu May 29 00:34:44 2025,Токио,JP,18.56,18.17
Thu May 29 00:45:03 2025,Токио,JP,18.68,18.3
Fri May 30 19:10:49 2025,Токио,JP,16.32,15.94
Fri May 30 19:16:56 2025,Токио,JP,16.2,15.86
Fri May 30 19:17:12 2025,Токио,JP,16.2,15.86
Fri May 30 19:23:25 2025,Токио,JP,16.2,15.83
Fri May 30 19:27:23 2025,Токио,JP,16.06,15.68
Fri May 30 19:34:18 2025,Токио,JP,16.06,15.68
Fri May 30 19:41:03 2025,Токио,JP,16.06,15.68
Fri May 30 19:51:33 2025,Токио,JP,15.91,15.49
Fri May 30 19:56:46 2025,Токио,JP,15.91,15.49
Fri May 30 20:00:58 2025,Токио,JP,15.91,15.49
Fri May 30 20:08:19 2025,Токио,JP,15.91,15.49
Fri May 30 20:11:49 2025,Токио,JP,15.91,15.49
Fri May 30 20:14:15 2025,Токио,JP,15.91,15.49
Fri May 30 20:25:11 2025,Токио,JP,15.91,15.49
Fri May 30 20:28:47 2025,Токио,JP,15.91,15.49
Fri May 30 20:39:29 2025,Токио,JP,15.9,15.48
Fri May 30 20:57:04 2025,Токио,JP,15.9,15.48
Sat May 31 13:36:15 2025,Токио,JP,16.25,16.02
Sat May 31 13:47:09 2025,Токио,JP,16.11,15.87
Sat May 31 16:11:00 2025,Токио,JP,16.5,16.14
Sat May 31 16:19:41 2025,Токио,JP,16.35,16.03
Sat May 31 16:36:32 2025,Токио,JP,16.35,16.05
Fri Jun  6 11:43:02 2025,Токио,JP,24.92,25.06
Fri Jun  6 11:54:08 2025,Токио,JP,24.51,24.66
Fri Jun  6 12:00:37 2025,Токио,JP,24.51,24.69
Fri Jun  6 12:30:02 2025,Токио,JP,24.18,24.32
Sun Jun 15 15:30:03 2025,Токио,JP,26.35,26.35
Sun Jun 15 15:48:46 2025,Токио,JP,26.08,26.08
Sun Jun 15 15:57:10 2025,Токио,JP,26.08,26.08
Sun Jun 15 15:57:10 2025,Токио,JP,26.08,26.08
Sun Jun 15 15:57:10 2025,Токио,JP,26.08,26.08
