date,city,country,temp,feels_like,humidity,windspeed,pressure,description,temp_score,humidity_score,wind_score,pressure_score,weather_score
Sun May 25 15:57:40 2025,Токио,JP,17.86,18.03,89,5.14,1009,Облачно с прояснениями,0.986,0.71,0.986,0.6,8.21
Sun May 25 15:52:45 2025,Москва,RU,27.59,26.85,31,5.04,1020,Пасмурно,0.641,0.91,0.996,1.0,8.69
Sun May 25 15:56:21 2025,Лондон,GB,19.4,18.57,45,7.72,1010,Небольшая облачность,1.0,1.0,0.728,0.7,8.71
Mon May 26 12:44:46 2025,Токио,JP,19.14,18.65,59,6.17,1020,Небольшой дождь,1.0,1.0,0.883,1.0,9.77
Mon May 26 12:50:27 2025,Токио,JP,19.09,18.6,59,6.17,1020,Небольшой дождь,1.0,1.0,0.883,1.0,9.77
Mon May 26 12:53:41 2025,Токио,JP,19.09,18.6,59,6.17,1020,Небольшой дождь,1.0,1.0,0.883,1.0,9.77
Mon May 26 13:02:18 2025,Токио,JP,19.09,18.6,59,6.17,1020,Облачно с прояснениями,1.0,1.0,0.883,1.0,9.77
Mon May 26 12:56:33 2025,Москва,RU,27.59,26.85,31,7.61,1020,Облачно с прояснениями,0.641,0.91,0.739,1.0,8.18
Mon May 26 13:00:39 2025,Москва,US,12.71,11.94,73,1.34,1012,Облачно с прояснениями,0.4710000000000001,0.87,1.0,0.9,7.84
Mon May 26 13:15:26 2025,Токио,JP,18.96,18.43,58,6.17,1020,Небольшой дождь,1.0,1.0,0.88,1.0,9.76
Mon May 26 13:13:44 2025,Москва,RU,27.59,26.85,31,7.61,1020,Облачно с прояснениями,0.64,0.91,0.74,1.0,8.18
Mon May 26 13:19:05 2025,Москва,US,13.85,12.67,53,3.09,1012,Ясно,0.58,1.0,1.0,0.9,8.49
Mon May 26 13:33:44 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 13:37:35 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 13:50:34 2025,Токио,JP,18.56,17.86,53,5.66,1020,Облачно с прояснениями,1.0,1.0,0.93,1.0,9.86
Mon May 26 13:54:00 2025,Токио,JP,18.56,17.86,53,5.66,1020,Облачно с прояснениями,1.0,1.0,0.93,1.0,9.86
Mon May 26 13:52:04 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 14:07:32 2025,Токио,JP,18.55,17.82,52,5.66,1020,Облачно с прояснениями,1.0,1.0,0.93,1.0,9.86
Mon May 26 14:13:04 2025,Токио,JP,18.55,17.82,52,5.66,1020,Облачно с прояснениями,1.0,1.0,0.93,1.0,9.86
Mon May 26 14:12:58 2025,Токио,JP,18.55,17.82,52,5.66,1020,Облачно с прояснениями,1.0,1.0,0.93,1.0,9.86
Mon May 26 14:16:58 2025,Токио,JP,18.55,17.84,53,5.14,1020,Облачно с прояснениями,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:20:13 2025,Токио,JP,18.55,17.84,53,5.14,1020,Облачно с прояснениями,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:18:46 2025,Москва,RU,27.59,26.89,32,7.85,1020,Облачно с прояснениями,0.64,0.92,0.72,1.0,8.16
Mon May 26 14:26:00 2025,Tokyo,JP,18.55,17.87,54,5.14,1020,Облачно с прояснениями,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:27:29 2025,Tokyo,JP,18.55,17.87,54,5.14,1020,Облачно с прояснениями,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:23:46 2025,Москва,RU,27.24,26.46,27,7.85,1020,Облачно с прояснениями,0.68,0.87,0.72,1.0,8.15
Mon May 26 14:34:10 2025,Москва,RU,27.24,26.7,33,7.64,1020,Облачно с прояснениями,0.68,0.93,0.74,1.0,8.35
Mon May 26 14:32:48 2025,Tokyo,JP,18.55,17.87,54,5.14,1021,Дождь,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:34:51 2025,Стамбул,TR,14.53,14.34,88,4.12,1009,Облачно с прояснениями,0.65,0.72,1.0,0.6,7.25
Mon May 26 14:39:53 2025,Стамбул,TR,14.53,14.34,88,4.12,1009,Облачно с прояснениями,0.65,0.72,1.0,0.6,7.25
Mon May 26 14:35:27 2025,Токио,JP,18.55,17.87,54,5.14,1021,Дождь,1.0,1.0,0.99,1.0,9.98
Mon May 26 14:45:27 2025,Токио,JP,18.55,17.9,55,5.14,1021,Небольшой дождь,1.0,1.0,0.99,1.0,9.98
Mon May 26 16:37:08 2025,Токио,JP,17.9,17.47,66,4.63,1022,Небольшой дождь,0.99,0.94,1.0,1.0,9.82
Mon May 26 16:42:26 2025,Токио,JP,17.9,17.47,66,5.66,1022,Ясно,0.99,0.94,0.93,1.0,9.68
Mon May 26 16:49:01 2025,Токио,JP,17.9,17.52,68,5.66,1022,Ясно,0.99,0.92,0.93,1.0,9.63
Mon May 26 16:56:41 2025,Токио,JP,17.78,17.39,68,5.66,1022,Ясно,0.98,0.92,0.93,1.0,9.6
Mon May 26 17:07:02 2025,Токио,JP,17.78,17.39,68,5.66,1022,Ясно,0.98,0.92,0.93,1.0,9.6
Mon May 26 17:03:33 2025,Токио,JP,17.78,17.39,68,5.66,1022,Ясно,0.98,0.92,0.93,1.0,9.6
Mon May 26 17:08:34 2025,Токио,JP,17.78,17.39,68,5.66,1022,Ясно,0.98,0.92,0.93,1.0,9.6
Mon May 26 17:17:59 2025,Токио,JP,17.78,17.36,67,4.63,1022,Облачно с прояснениями,0.98,0.93,1.0,1.0,9.76
Mon May 26 17:21:56 2025,Токио,JP,17.78,17.36,67,4.63,1022,Облачно с прояснениями,0.98,0.93,1.0,1.0,9.76
Mon May 26 17:23:33 2025,Токио,JP,17.64,17.21,67,4.63,1022,Облачно с прояснениями,0.96,0.93,1.0,1.0,9.7
Mon May 26 17:33:02 2025,Токио,JP,17.64,17.24,68,4.63,1021,Облачно с прояснениями,0.96,0.92,1.0,1.0,9.68
Mon May 26 18:14:18 2025,Токио,JP,17.64,17.24,68,5.14,1021,Облачно с прояснениями,0.96,0.92,0.99,1.0,9.66
Mon May 26 18:33:35 2025,Токио,JP,17.33,16.89,68,4.12,1022,Облачно с прояснениями,0.93,0.92,1.0,1.0,9.59
Mon May 26 18:39:31 2025,Токио,JP,17.33,16.89,68,4.12,1022,Облачно с прояснениями,0.93,0.92,1.0,1.0,9.59
Mon May 26 18:44:15 2025,Токио,JP,17.33,16.89,68,4.12,1022,Облачно с прояснениями,0.93,0.92,1.0,1.0,9.59
Mon May 26 18:48:35 2025,Токио,JP,17.33,16.92,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 18:52:08 2025,Токио,JP,17.33,16.92,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 19:08:33 2025,Токио,JP,17.29,16.88,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 19:10:00 2025,Токио,JP,17.29,16.88,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 19:09:48 2025,Москва,RU,25.57,24.89,27,6.48,1020,Пасмурно,0.84,0.87,0.85,1.0,8.9
Mon May 26 19:10:48 2025,Tokyo,JP,17.29,16.88,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 19:16:08 2025,Tokyo,JP,17.29,16.88,69,4.63,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Mon May 26 19:12:52 2025,Стамбул,TR,14.53,14.34,88,3.09,1011,Облачно с прояснениями,0.65,0.72,1.0,0.8,7.75
Mon May 26 19:17:44 2025,Санкт-Петербург,RU,13.37,13.3,97,3.0,1008,Небольшой проливной дождь,0.54,0.63,1.0,0.5,6.45
Mon May 26 19:07:18 2025,Москва,RU,25.57,24.89,27,6.48,1020,Пасмурно,0.84,0.87,0.85,1.0,8.9
Mon May 26 19:18:54 2025,Токио,JP,17.29,16.88,69,4.12,1022,Ясно,0.93,0.91,1.0,1.0,9.57
Tue May 27 14:35:00 2025,Токио,JP,17.91,17.66,73,6.17,1022,Облачно с прояснениями,0.99,0.87,0.88,1.0,9.4
Tue May 27 14:36:05 2025,Москва,RU,24.81,24.1,29,6.92,1020,Пасмурно,0.92,0.89,0.81,1.0,9.11
Thu May 29 00:34:44 2025,Токио,JP,18.56,18.17,65,3.09,1019,Облачно с прояснениями,1.0,0.95,1.0,1.0,9.88
Thu May 29 00:45:03 2025,Токио,JP,18.68,18.3,65,3.09,1019,Облачно с прояснениями,1.0,0.95,1.0,1.0,9.88
